clientnum,client_stayed,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_trans_amt,total_trans_ct,gender_F,gender_M,marital_status_Divorced,marital_status_Married,marital_status_Single,education_level_ordinal_level_scale,income_category_ordinal_level_scale,card_category_ordinal_level_scale
768805383,1,45,M,3,High School,Married,5833.33,Blue,39,5,1,3,12691.0,777,1144,42,0,1,0,1,0,3,6,1
818770008,1,49,F,5,Graduate,Single,1666.67,Blue,44,6,1,2,8256.0,864,1291,33,1,0,0,0,1,5,2,1
713982108,1,51,M,3,Graduate,Married,8333.33,Blue,36,4,1,0,3418.0,0,1887,20,0,1,0,1,0,5,4,1
709106358,1,40,M,3,Uneducated,Married,5833.33,Blue,21,5,1,0,4716.0,0,816,28,0,1,0,1,0,2,6,1
713061558,1,44,M,2,Graduate,Married,4166.67,Blue,36,3,1,2,4010.0,1247,1088,24,0,1,0,1,0,5,3,1
710930508,1,37,M,3,Uneducated,Single,5833.33,Blue,36,5,2,0,22352.0,2517,1350,24,0,1,0,0,1,2,6,1
719661558,1,48,M,2,Graduate,Single,8333.33,Blue,36,6,3,3,11656.0,1677,1441,32,0,1,0,0,1,5,4,1
710599683,1,56,M,1,College,Single,8333.33,Blue,36,3,6,0,11751.0,0,1539,17,0,1,0,0,1,4,4,1
712396908,1,57,F,2,Graduate,Married,1666.67,Blue,48,5,2,2,2436.0,680,1570,29,1,0,0,1,0,5,2,1
709967358,1,48,M,4,Post-Graduate,Single,8333.33,Blue,36,6,2,3,30367.0,2362,1671,27,0,1,0,0,1,6,4,1
806160108,1,61,M,1,High School,Married,4166.67,Blue,56,2,2,3,3193.0,2517,1336,30,0,1,0,1,0,3,3,1
806165208,1,47,M,1,Doctorate,Divorced,5833.33,Blue,42,5,2,0,20979.0,1800,1178,27,0,1,1,0,0,7,6,1
708508758,0,62,F,0,Graduate,Married,1666.67,Blue,49,2,3,3,1438.3,0,692,16,1,0,0,1,0,5,2,1
784725333,1,41,M,3,High School,Married,4166.67,Blue,33,4,2,1,4470.0,680,931,18,0,1,0,1,0,3,3,1
771071958,1,41,F,3,Graduate,Single,1666.67,Blue,28,6,1,2,7768.0,1669,1051,22,1,0,0,0,1,5,2,1
806624208,1,47,M,4,High School,Married,4166.67,Blue,42,6,0,0,4785.0,1362,1045,38,0,1,0,1,0,3,3,1
712991808,1,53,M,2,Uneducated,Married,5833.33,Blue,48,2,5,1,2451.0,1690,1596,26,0,1,0,1,0,2,6,1
